trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit,
1420102,ETH-BTC,SELL,2017-09-02T22:34:42.122Z,9.74,ETH,0.07591,0,0.7393634,BTC,0.7393634
1420212,ETH-BTC,BUY,2017-09-02T22:45:58.910Z,5.80798,ETH,0.07609,0,-0.441929198,BTC,0.297434202
1421306,ETH-BTC,SELL,2017-09-03T04:51:19.028Z,3.83145279,ETH,0.07695,0,0.294830292,BTC,0.592264494
1422483,ETH-BTC,BUY,2017-09-03T09:07:19.458Z,7.79,ETH,0.07603,0,-0.5922737,BTC,-9.20601E-06
1427755,ETH-BTC,SELL,2017-09-04T08:04:15.479Z,9.77,ETH,0.07254,0,0.7087158,BTC,0.708706594
1427817,ETH-BTC,BUY,2017-09-04T08:07:26.245Z,9.79,ETH,0.07235,0,-0.7083065,BTC,0.000400094
1428591,ETH-BTC,SELL,2017-09-04T08:32:53.144Z,3.27050747,ETH,0.07063,0,0.230995943,BTC,0.231396037
1428592,ETH-BTC,SELL,2017-09-04T08:32:53.826Z,3.27097276,ETH,0.07063,0,0.231028806,BTC,0.462424843
1428598,ETH-BTC,SELL,2017-09-04T08:32:59.977Z,1.05838641,ETH,0.07065,0,0.074775,BTC,0.537199843
1428599,ETH-BTC,SELL,2017-09-04T08:33:00.356Z,0.98782732,ETH,0.07065,0,0.06979,BTC,0.606989843
1428600,ETH-BTC,SELL,2017-09-04T08:33:00.563Z,0.98782732,ETH,0.07065,0,0.06979,BTC,0.676779843
1428615,ETH-BTC,SELL,2017-09-04T08:33:11.171Z,0.21,ETH,0.07068,0,0.0148428,BTC,0.691622643
1428959,ETH-BTC,BUY,2017-09-04T08:45:33.772Z,4.20689001,ETH,0.07085,0,-0.298058157,BTC,0.393564486
1429047,ETH-BTC,BUY,2017-09-04T08:56:13.336Z,4.168192,ETH,0.07057,0,-0.294149309,BTC,0.099415176
1429183,ETH-BTC,SELL,2017-09-04T09:08:22.209Z,0.09889,ETH,0.07113,0,0.007034046,BTC,0.106449222
1430033,ETH-BTC,BUY,2017-09-04T11:08:22.808Z,1.5,ETH,0.07079,0,-0.106185,BTC,0.000264222
1431019,ETH-BTC,SELL,2017-09-04T12:35:01.495Z,0.64426866,ETH,0.0699,0,0.045034379,BTC,0.045298601
1431043,ETH-BTC,SELL,2017-09-04T12:37:06.634Z,1.03709538,ETH,0.06973,0,0.072316661,BTC,0.117615262
1431053,ETH-BTC,SELL,2017-09-04T12:37:37.549Z,1.11687195,ETH,0.06987,0,0.078035843,BTC,0.195651105
1431054,ETH-BTC,SELL,2017-09-04T12:37:37.887Z,1.03709538,ETH,0.06987,0,0.072461854,BTC,0.268112959
1431055,ETH-BTC,SELL,2017-09-04T12:37:38.433Z,1.03709538,ETH,0.06987,0,0.072461854,BTC,0.340574814
1431075,ETH-BTC,SELL,2017-09-04T12:37:45.461Z,1.19664851,ETH,0.06999,0,0.083753429,BTC,0.424328243
1431076,ETH-BTC,SELL,2017-09-04T12:37:45.781Z,1.11687195,ETH,0.06999,0,0.078169868,BTC,0.502498111
1431100,ETH-BTC,SELL,2017-09-04T12:37:55.298Z,1.11687195,ETH,0.07003,0,0.078214543,BTC,0.580712653
1431101,ETH-BTC,SELL,2017-09-04T12:37:55.520Z,1.03709538,ETH,0.07003,0,0.072627789,BTC,0.653340443
1431102,ETH-BTC,SELL,2017-09-04T12:37:55.727Z,0.43603267,ETH,0.07003,0,0.030535368,BTC,0.683875811
1431302,ETH-BTC,BUY,2017-09-04T12:46:43.739Z,9.39000004,ETH,0.06919,0,-0.649694103,BTC,0.034181708
1431533,ETH-BTC,SELL,2017-09-04T13:09:57.761Z,1.05536636,ETH,0.06827,0,0.072049861,BTC,0.106231569
1431757,ETH-BTC,BUY,2017-09-04T13:27:37.456Z,1.54,ETH,0.06886,0,-0.1060444,BTC,0.000187169
1432557,ETH-BTC,SELL,2017-09-04T15:01:25.976Z,9.88,ETH,0.06787,0,0.6705556,BTC,0.670742769
1433450,ETH-BTC,BUY,2017-09-04T16:22:30.130Z,9.77,ETH,0.06863,0,-0.6705151,BTC,0.000227669
1434034,ETH-BTC,SELL,2017-09-04T17:45:18.159Z,9.77,ETH,0.06937,0,0.6777449,BTC,0.677972569
1435312,ETH-BTC,BUY,2017-09-04T19:18:21.305Z,5.40859376,ETH,0.07134,0,-0.385849079,BTC,0.29212349
1435592,ETH-BTC,BUY,2017-09-04T19:37:55.672Z,4.06,ETH,0.07194,0,-0.2920764,BTC,4.70904E-05
1436566,ETH-BTC,SELL,2017-09-04T21:52:30.301Z,0.183625,ETH,0.07254,0,0.013320158,BTC,0.013367248
1436569,ETH-BTC,SELL,2017-09-04T21:52:42.919Z,0.114414,ETH,0.07259,0,0.008305312,BTC,0.02167256
1436571,ETH-BTC,SELL,2017-09-04T21:53:04.012Z,0.19,ETH,0.07259,0,0.0137921,BTC,0.03546466
1437180,ETH-BTC,SELL,2017-09-04T23:33:29.944Z,0.75506303,ETH,0.07057,0,0.053284798,BTC,0.088749458
1437437,ETH-BTC,SELL,2017-09-05T00:43:25.782Z,7.101678,ETH,0.07051,0,0.500739316,BTC,0.589488774
1437438,ETH-BTC,SELL,2017-09-05T00:43:34.322Z,1.12,ETH,0.07054,0,0.0790048,BTC,0.668493574
1438236,ETH-BTC,BUY,2017-09-05T01:53:48.846Z,9.78,ETH,0.06834,0,-0.6683652,BTC,0.000128374
1439514,ETH-BTC,SELL,2017-09-05T04:04:21.158Z,6.522349,ETH,0.06905,0,0.450368198,BTC,0.450496572
1439515,ETH-BTC,SELL,2017-09-05T04:04:21.707Z,3.257651,ETH,0.06905,0,0.224940802,BTC,0.675437374
1441654,ETH-BTC,BUY,2017-09-05T10:21:09.269Z,9.5,ETH,0.07106,0,-0.67507,BTC,0.000367374
1449963,ETH-BTC,SELL,2017-09-06T13:33:16.559Z,0.33694188,ETH,0.07291,0,0.024566432,BTC,0.024933806
1450012,ETH-BTC,SELL,2017-09-06T13:41:15.955Z,1.45673528,ETH,0.07302,0,0.10637081,BTC,0.131304617
1450013,ETH-BTC,SELL,2017-09-06T13:41:16.229Z,1.43561763,ETH,0.07302,0,0.104828799,BTC,0.236133416
1450014,ETH-BTC,SELL,2017-09-06T13:41:16.426Z,1.36005881,ETH,0.07302,0,0.099311494,BTC,0.33544491
1450288,ETH-BTC,SELL,2017-09-06T14:54:07.675Z,1,ETH,0.07263,0,0.07263,BTC,0.40807491
1450289,ETH-BTC,SELL,2017-09-06T14:54:08.104Z,1,ETH,0.07263,0,0.07263,BTC,0.48070491
1450291,ETH-BTC,SELL,2017-09-06T14:54:22.573Z,0.8,ETH,0.07263,0,0.058104,BTC,0.53880891
1450299,ETH-BTC,SELL,2017-09-06T14:54:39.681Z,0.75,ETH,0.07269,0,0.0545175,BTC,0.59332641
1453781,ETH-BTC,SELL,2017-09-07T16:37:58.654Z,1.36,ETH,0.07252,0,0.0986272,BTC,0.69195361
1459176,ETH-BTC,BUY,2017-09-08T14:38:20.296Z,1.75727283,ETH,0.06977,0,-0.122604925,BTC,0.569348685
1459439,ETH-BTC,BUY,2017-09-08T14:54:38.929Z,8.11,ETH,0.07022,0,-0.5694842,BTC,-0.000135515
1459973,ETH-BTC,SELL,2017-09-08T15:55:08.754Z,9.87,ETH,0.07058,0,0.6966246,BTC,0.696489085
